rut;nrc;usuario;year;mes;dia;id;problema;puntaje
446;17335;*;2020;4;14;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
71;17335;*;2020;4;14;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
319;17336;*;2020;4;14;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
431;17336;*;2020;4;14;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;0.0
356;17335;*;2020;4;14;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
148;17335;*;2020;4;14;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
202;17335;*;2020;4;14;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
494;17335;*;2020;4;14;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
48;17336;*;2020;4;14;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
266;17335;*;2020;4;14;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
495;17336;*;2020;4;14;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
496;17335;*;2020;4;14;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
349;17336;*;2020;4;14;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
253;17336;*;2020;4;14;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
448;17336;*;2020;4;14;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
497;17336;*;2020;4;14;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
498;17341;*;2020;4;14;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;0
99;17339;*;2020;4;14;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
499;17929;*;2020;4;14;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
357;17339;*;2020;4;14;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
225;17341;*;2020;4;14;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
291;17341;*;2020;4;14;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
376;17341;*;2020;4;14;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
69;17345;*;2020;4;14;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
500;17341;*;2020;4;14;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
49;17341;*;2020;4;14;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
411;17341;*;2020;4;14;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
452;17341;*;2020;4;14;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
93;17929;*;2020;4;14;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
150;17339;*;2020;4;14;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
166;17331;*;2020;4;15;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
62;17931;*;2020;4;15;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
288;17335;*;2020;4;15;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
465;17340;*;2020;4;15;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
300;17929;*;2020;4;15;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
501;17350;*;2020;4;15;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;0
137;17340;*;2020;4;15;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;0
316;17336;*;2020;4;15;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
41;17323;*;2020;4;15;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
502;17323;*;2020;4;15;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
123;17323;*;2020;4;15;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;0.0
98;17323;*;2020;4;15;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
503;17323;*;2020;4;15;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
504;17323;*;2020;4;15;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
386;17323;*;2020;4;15;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
336;17341;*;2020;4;15;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
505;17330;*;2020;4;15;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
506;17330;*;2020;4;15;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
507;17331;*;2020;4;15;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
508;17330;*;2020;4;15;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
509;17350;*;2020;4;15;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
29;17350;*;2020;4;15;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
2;17350;*;2020;4;15;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
51;17350;*;2020;4;15;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
209;17350;*;2020;4;15;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
12;17350;*;2020;4;15;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
111;17350;*;2020;4;15;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
9;17350;*;2020;4;15;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
510;17350;*;2020;4;15;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
3;17350;*;2020;4;15;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
511;17350;*;2020;4;15;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
25;17345;*;2020;4;15;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
39;17334;*;2020;4;16;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
512;17346;*;2020;4;16;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
10;17346;*;2020;4;16;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
513;17346;*;2020;4;16;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
514;17346;*;2020;4;16;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
515;17346;*;2020;4;16;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
14;17346;*;2020;4;16;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
6;17344;*;2020;4;16;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
516;17346;*;2020;4;16;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
517;17346;*;2020;4;16;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
24;17346;*;2020;4;16;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
518;17346;*;2020;4;16;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
519;17346;*;2020;4;16;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;0.0
216;17346;*;2020;4;16;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
520;17346;*;2020;4;16;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
188;17340;*;2020;4;16;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
521;17350;*;2020;4;16;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
305;17322;*;2020;4;16;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
522;17322;*;2020;4;16;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
523;17322;*;2020;4;16;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;0
32;17346;*;2020;4;16;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
351;17328;*;2020;4;16;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
439;17328;*;2020;4;16;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
164;17328;*;2020;4;16;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
524;17327;*;2020;4;16;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
390;17328;*;2020;4;16;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
525;17326;*;2020;4;16;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;0
526;17328;*;2020;4;16;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
527;17327;*;2020;4;16;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
400;17338;*;2020;4;16;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
103;17931;*;2020;4;16;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
528;17339;*;2020;4;16;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
407;17332;*;2020;4;16;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
118;17929;*;2020;4;16;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
529;17338;*;2020;4;16;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
530;17332;*;2020;4;16;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
91;17929;*;2020;4;16;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
308;17335;*;2020;4;16;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
394;17339;*;2020;4;16;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
531;17337;*;2020;4;16;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;0
398;17333;*;2020;4;16;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
384;17337;*;2020;4;16;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
200;17337;*;2020;4;16;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
532;17337;*;2020;4;16;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
461;17337;*;2020;4;16;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
281;17337;*;2020;4;16;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
449;17337;*;2020;4;16;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
189;17337;*;2020;4;16;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
426;17337;*;2020;4;16;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
314;17929;*;2020;4;16;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
533;17929;*;2020;4;16;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
402;17337;*;2020;4;16;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
294;17341;*;2020;4;16;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;0.0
136;17341;*;2020;4;16;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
258;17341;*;2020;4;16;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
207;17341;*;2020;4;16;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
165;17322;*;2020;4;16;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
124;17341;*;2020;4;16;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
113;17929;*;2020;4;16;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
534;17341;*;2020;4;16;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;0.0
455;17329;*;2020;4;16;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
35;17341;*;2020;4;16;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
239;17345;*;2020;4;16;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;0.0
194;17931;*;2020;4;16;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
401;17334;*;2020;4;17;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
366;17335;*;2020;4;17;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
64;17340;*;2020;4;17;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
68;17931;*;2020;4;17;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
535;17931;*;2020;4;17;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
434;17335;*;2020;4;17;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;0.0
536;17930;*;2020;4;17;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;0
537;17930;*;2020;4;17;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;0.0
538;17930;*;2020;4;17;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;0
539;17931;*;2020;4;17;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;0.0
540;17930;*;2020;4;17;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;0
404;17931;*;2020;4;17;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
541;17340;*;2020;4;17;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
368;17329;*;2020;4;17;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;0
542;17340;*;2020;4;17;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
543;17930;*;2020;4;17;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
544;17929;*;2020;4;17;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
20;17344;*;2020;4;17;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
545;17930;*;2020;4;17;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
267;17931;*;2020;4;17;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
40;17345;*;2020;4;17;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
142;17327;*;2020;4;17;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
30;17345;*;2020;4;17;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
175;17333;*;2020;4;17;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
546;17329;*;2020;4;17;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
388;17332;*;2020;4;17;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
350;17340;*;2020;4;17;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
161;17327;*;2020;4;17;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
154;17350;*;2020;4;17;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
67;17345;*;2020;4;17;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
338;17349;*;2020;4;17;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;0
547;17345;*;2020;4;18;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
548;17322;*;2020;4;18;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
549;17338;*;2020;4;18;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
178;17349;*;2020;4;18;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;0
550;17334;*;2020;4;19;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
551;17327;*;2020;4;19;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
454;17338;*;2020;4;19;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
88;17338;*;2020;4;19;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
552;17341;*;2020;4;19;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
217;17322;*;2020;4;19;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
158;17322;*;2020;4;19;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
321;17327;*;2020;4;19;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
553;17344;*;2020;4;19;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
107;17331;*;2020;4;20;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
96;17929;*;2020;4;20;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
554;17338;*;2020;4;20;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
18;17349;*;2020;4;20;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
555;17346;*;2020;4;20;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;0.0
556;17930;*;2020;4;20;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
417;17327;*;2020;4;20;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
479;17332;*;2020;4;20;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
306;17338;*;2020;4;20;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
59;17349;*;2020;4;21;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
557;17344;*;2020;4;21;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;0
558;17327;*;2020;4;21;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
153;17326;*;2020;4;21;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
162;17322;*;2020;4;21;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
379;17323;*;2020;4;21;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
559;17323;*;2020;4;21;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
560;17323;*;2020;4;21;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
187;17328;*;2020;4;21;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
299;17328;*;2020;4;21;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
320;17328;*;2020;4;21;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
141;17328;*;2020;4;21;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
28;17344;*;2020;4;21;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
561;17326;*;2020;4;21;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
562;17328;*;2020;4;21;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
563;17341;*;2020;4;21;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
564;18556;*;2020;4;21;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
565;17332;*;2020;4;21;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;0
293;18556;*;2020;4;21;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
464;17333;*;2020;4;21;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
421;17333;*;2020;4;21;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
477;17333;*;2020;4;21;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
129;17333;*;2020;4;21;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
566;17333;*;2020;4;21;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
567;18556;*;2020;4;21;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
84;17333;*;2020;4;21;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
409;17333;*;2020;4;21;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
282;17333;*;2020;4;21;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
342;17322;*;2020;4;21;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
568;17333;*;2020;4;21;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
254;17339;*;2020;4;21;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
444;17339;*;2020;4;21;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
569;17339;*;2020;4;21;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
457;17339;*;2020;4;21;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
132;17333;*;2020;4;21;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
435;17338;*;2020;4;21;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
570;17339;*;2020;4;21;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
184;17330;*;2020;4;21;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
140;17328;*;2020;4;22;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
372;17328;*;2020;4;22;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
571;17339;*;2020;4;22;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
273;17327;*;2020;4;22;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
412;17328;*;2020;4;22;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
572;17344;*;2020;4;22;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
466;17333;*;2020;4;22;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
373;17339;*;2020;4;22;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
151;17339;*;2020;4;22;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
104;17333;*;2020;4;22;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
573;17344;*;2020;4;22;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
257;17323;*;2020;4;22;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
237;17339;*;2020;4;22;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
315;17322;*;2020;4;22;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
363;17339;*;2020;4;22;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
144;17333;*;2020;4;22;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
574;17350;*;2020;4;23;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;0
575;17346;*;2020;4;23;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
576;17328;*;2020;4;23;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
335;17333;*;2020;4;23;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
78;17327;*;2020;4;23;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
190;17327;*;2020;4;23;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
577;17323;*;2020;4;23;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
447;17333;*;2020;4;23;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
578;17328;*;2020;4;23;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
224;17328;*;2020;4;23;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
436;17323;*;2020;4;23;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
471;17333;*;2020;4;23;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
418;17332;*;2020;4;23;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
579;17329;*;2020;4;23;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
310;17329;*;2020;4;23;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;0.0
